School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
George Washington University (GWU),47000.0,97900.0,48400.0,69600.0,132000.0,194000.0
Texas A&M University,49700.0,96100.0,51100.0,71300.0,131000.0,171000.0
Tulane University,49100.0,95800.0,46500.0,64400.0,134000.0,185000.0
Virginia Polytechnic Institute and State University (Virginia Tech),53500.0,95400.0,50600.0,71400.0,124000.0,163000.0
"University of Maryland, College Park",52000.0,95000.0,50400.0,68300.0,126000.0,166000.0
University of Richmond,48600.0,94600.0,44500.0,59400.0,151000.0,211000.0
University of Texas (UT) - Austin,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0
Emory University,52000.0,91600.0,52500.0,63300.0,128000.0,192000.0
"American University, Washington D.C.",45300.0,90800.0,45200.0,62400.0,134000.0,169000.0
University of Tulsa,42400.0,88700.0,42300.0,60300.0,120000.0,197000.0
Baylor University,48300.0,88600.0,46300.0,60700.0,130000.0,200000.0
University of Florida (UF),47100.0,87900.0,45400.0,62900.0,120000.0,172000.0
Louisiana State University (LSU),46900.0,87800.0,43700.0,61300.0,120000.0,165000.0
George Mason University,47800.0,86900.0,51300.0,67200.0,114000.0,150000.0
Clemson University,48400.0,86000.0,50500.0,61800.0,111000.0,150000.0
University of Georgia (UGA),44100.0,86000.0,43100.0,57800.0,118000.0,164000.0
Auburn University,45400.0,84700.0,45400.0,62700.0,109000.0,145000.0
University of Delaware,45900.0,84500.0,44500.0,64000.0,119000.0,165000.0
Randolph-Macon College,42600.0,83600.0,,54100.0,123000.0,
North Carolina State University (NCSU),47200.0,83300.0,49200.0,64800.0,112000.0,153000.0
University of Oklahoma,44700.0,82900.0,41200.0,60300.0,114000.0,167000.0
University of Arkansas,44100.0,82800.0,43200.0,60700.0,113000.0,160000.0
University of Alabama at Huntsville (UAH),43100.0,82700.0,46100.0,67800.0,106000.0,132000.0
Howard University,46900.0,81800.0,43300.0,60000.0,109000.0,138000.0
University of North Carolina at Chapel Hill (UNCH),42900.0,81500.0,43400.0,57500.0,117000.0,155000.0
